valid_utc,base_m,top_m,thickness_m,deltaT_C,deltaTheta_K,deltaDry_C,deltaRH_pct,TII,LLW_925_850_kt,Risk
2026-09-25 00:00,2099.0,2260.0,161.0,1.1000000000000014,2.85631954701671,5.000000000000002,28.0,3.344792960371517,7.225,LOW
2026-09-25 12:00,2098.0,2210.0,112.0,0.8000000000000007,2.024429979837521,4.600000000000001,25.0,1.9151648137418398,6.275,LOW
2026-09-26 00:00,,,,,,,,,12.4,LOW
2026-09-26 12:00,,,,,,,,,13.2,LOW
