time_tag,location,valid_utc,valid_hst,speed_kt,dir_from_deg,angle_to_axis_deg,along_axis_kt,alignment_bin,npts,ocean_frac,r2,rms_hpa,cond,stab_vg_kt,stab_angle_deg,fit_quality,center_lat_used,center_lon_used
t-24h,channel area,2026-09-25 12:00 UTC,2026-09-25 02:00 HST,36.430180656686254,124.86181392701508,58.86181392701508,18.838188230921386,Alignment: Moderate,97,0.6736111111111112,0.9264668202947671,0.3510416545908096,42721.17694562934,0.41925143005227106,0.4084987685309935,Moderate,20.457,-155.957
t0,channel area,2026-09-26 12:00 UTC,2026-09-26 02:00 HST,53.49499226964059,117.94266338765112,51.94266338765112,32.976974036743044,Alignment: Moderate,97,0.6736111111111112,0.9437948024038232,0.44173022767837977,42721.17694562934,0.5261456605493883,0.19740461196179762,Moderate,20.457,-155.957
t+24h,channel area,2026-09-27 12:00 UTC,2026-09-27 02:00 HST,61.73417389191504,131.59043867771237,65.59043867771237,25.51204220172079,Alignment: Poor,97,0.6736111111111112,0.926029066976631,0.6010488059007291,42721.17694562934,0.5744335087638996,0.4887885992542549,Moderate,20.457,-155.957
t+48h,channel area,2026-09-28 12:00 UTC,2026-09-28 02:00 HST,36.61751455241644,144.6362875654956,78.63628756549559,7.214985378726789,Alignment: Poor,97,0.6736111111111112,0.8983052578477032,0.42594666232892603,42721.17694562934,0.40956481726401295,0.5898907140771136,Moderate,20.457,-155.957
