time_tag,valid_utc,valid_hst,center_lat,center_lon_e,center_lon_w,center_lon_hem,central_pressure_mb,distance_to_HI_km,PGF_mb_per_1000km,Vg_total_kt,angle_to_axis_deg,Vg_along_kt,rank,note
t-24h,2026-09-25 12:00 UTC,2026-09-25 02:00 HST,37.5,221.75,-138.25,W,1023.3177490234375,2551.526735722288,5.0711420191017424,15.78683399204303,19.03552636906329,14.923555044291776,1,
t0,2026-09-26 12:00 UTC,2026-09-26 02:00 HST,38.25,208.0,-152.0,W,1025.3065185546875,2014.74001297523,7.1852629613556465,22.368246271318096,54.00055911284653,13.147548687173925,1,
t+24h,2026-09-27 12:00 UTC,2026-09-27 02:00 HST,37.25,209.75,-150.25,W,1025.4957275390625,1947.1559636884256,7.255019801537933,22.585404389079173,47.962105340169046,15.123682889698127,1,
t+48h,2026-09-28 12:00 UTC,2026-09-28 02:00 HST,42.5,180.0,180.0,E,1026.0159912109375,3323.788414101358,4.120391921921835,12.827079779764707,64.00676579716753,5.621660238266817,1,no_contour
